Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,X,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,TotalOverTenure,TotalByTenure,TotalLastMonth,TotalServices,TotalDevices,LastMonthGroup,CardSpendGroup,TenureGroup,segment,CustomerValue,probValue,ValueGroup,kmeans_segment
1,2,Female,20,15,Professional,Yes,0,No,31000,11.1,1.200909,2.240091,NA,Yes,Unmarried,3,0,0,0,0,0,2,Own,Domestic," $ 14,300.00 ",22,Yes,Yes,Mast,2,5,816.6,No,5,19.5,34.4,Yes,29.5,126.1,Yes,No,0,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,13,No,Yes,Yes,No,No,160.5,32.1,49,7,4,Low,Low,Short,1,Low,0.9998091039076755,High,1
5,5,Male,22,17,Sales,No,0,No,15000,18.6,1.22202,1.56798,NA,Yes,Unmarried,2,6,0,0,0,1,2,Own,Foreign," $ 6,800.00 ",29,Yes,No,Visa,4,5,426,Yes,39,26.7,330.6,Yes,54.849999999999994,1975,Yes,Yes,45.65,1683.55,Yes,Yes,Yes,4,Yes,No,Yes,No,Yes,18,Yes,Yes,Yes,Yes,Yes,3989.1499999999996,102.28589743589743,127.19999999999999,7,6,High,Low,Short,5,Low,0.6297733587885624,High,2
3,4,Female,67,14,Sales,No,16,No,35000,9.9,0.92862,2.53638,NA,No,Married,3,3,2,1,0,1,3,Own,Foreign," $ 18,800.00 ",24,Yes,No,Visa,35,9,1842.2,No,65,85.2,1858.35,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,21,No,No,No,No,Yes,1858.35,28.59,85.2,1,1,High,Low,Long,6,High,0.3099604909587436,Low,2
4,3,Male,23,16,Sales,No,0,No,20000,5.7,0.0228,1.1172,NA,Yes,Married,5,0,0,0,0,1,3,Own,Foreign," $ 8,700.00 ",38,No,No,Visa,5,17,3409.9,Yes,36,18,199.45000000000002,No,0,0,Yes,No,0,0,Yes,No,No,2,No,No,No,No,Yes,26,Yes,Yes,Yes,No,Yes,199.45000000000002,5.540277777777778,18,1,4,Low,Low,Short,1,Low,0.9950052126509074,High,1
2,2,Male,26,16,Sales,No,1,No,23000,1.7,0.214659,0.176341,NA,No,Married,4,0,0,0,0,0,1,Lease,Foreign," $ 10,600.00 ",32,No,No,Disc,8,8,2551,Yes,21,9.15,74.1,No,0,0,Yes,Yes,19.05,410.8,No,Yes,No,3,Yes,Yes,Yes,Yes,No,27,Yes,No,Yes,No,No,484.9,23.09047619047619,28.200000000000003,6,3,Low,Low,Short,1,Low,0.9989958680980898,High,1
4,4,Male,64,17,Service,No,22,No,107000,5.6,1.060584,4.931416,NA,No,Unmarried,1,11,1,1,0,1,0,-1,-1," $ (1,000.00)",23,No,No,Visa,18,11,2282.7,No,28,24.3,264.9,Yes,35.5,970.9499999999999,Yes,No,0,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,21,No,No,No,No,No,1235.85,44.137499999999996,59.8,6,2,Low,Low,Short,1,Low,0.9886802968166177,High,1
2,5,Female,52,14,Professional,No,10,No,77000,1.9,0.501809,0.961191,NA,No,Unmarried,1,2,0,2,0,0,2,Own,Domestic," $ 25,600.00 ",32,No,No,Othe,3,20,8223.2,No,15,11.4,44.8,No,0,0,No,No,0,0,No,No,No,Yes,No,No,Yes,No,No,19,Yes,Yes,No,No,No,44.8,2.9866666666666664,11.4,2,3,Low,High,Short,3,Low,0.9928187291653466,High,3
3,4,Female,44,16,Professional,No,11,No,97000,14.4,5.950368,8.017632,NA,No,Married,2,10,0,2,0,1,1,Own,Domestic," $ 55,500.00 ",31,No,Yes,AMEX,25,6,5927,No,46,44.55,612.7,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,13,No,No,No,No,Yes,612.7,13.319565217391306,44.55,5,1,Low,High,Long,4,High,0.7410717455705437,High,3
2,3,Female,66,12,Professional,No,15,Yes,16000,2.6,0.102336,0.313664,NA,No,Unmarried,1,1,1,0,0,1,1,Own,Foreign," $ 8,600.00 ",25,Yes,Yes,Mast,26,12,3265.9,Yes,53,63.15,1074.35,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,25,No,No,No,No,No,1074.35,20.27075471698113,63.15,1,1,Low,Low,Long,2,Low,0.709877796066184,High,2
2,2,Male,47,11,Labor,No,19,No,84000,4.1,1.770216,1.673784,NA,No,Unmarried,2,1,1,0,0,1,4,Own,Domestic," $ 41,000.00 ",29,Yes,Yes,Othe,2,11,1996.4,Yes,3,10.950000000000001,20.05,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,21,No,No,No,No,No,20.05,6.683333333333334,10.950000000000001,0,1,Low,Low,Short,1,Low,0.999964265409466,High,1
4,1,Female,59,19,Professional,No,8,No,47000,8.6,1.358112,2.683888,NA,No,Unmarried,1,7,3,0,0,0,3,Own,Domestic," $ 28,000.00 ",17,No,Yes,Disc,16,11,4889.7,No,50,25.650000000000002,446.55,Yes,31.2,1568.35,Yes,No,0,0,Yes,No,No,3,No,Yes,No,No,Yes,26,Yes,Yes,No,No,No,2014.8999999999999,40.297999999999995,56.85,3,3,Low,Low,Long,2,Low,0.635888485106416,High,2
2,4,Female,33,8,Sales,No,4,No,19000,0.9,0.130131,0.040869,NA,No,Married,5,6,0,0,0,0,2,Own,Foreign," $ 9,300.00 ",28,No,No,Mast,6,14,3382.6,No,9,10.8,37,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,27,No,No,No,No,No,37,4.111111111111111,10.8,0,1,Low,Low,Short,1,Low,0.9998342470757245,High,1
5,2,Male,44,10,Professional,No,12,No,73000,2.8,1.250928,0.793072,NA,No,Unmarried,1,1,0,1,0,1,1,Own,Foreign," $ 38,500.00 ",25,Yes,Yes,Disc,1,12,5343.6,No,5,20.25,29.9,No,0,0,Yes,No,0,0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,No,29.9,5.9799999999999995,20.25,5,2,Low,High,Short,3,Low,0.9993579368387042,High,1
3,2,Male,58,18,Professional,No,3,No,63000,10.5,1.924965,4.690035,NA,No,Unmarried,1,0,0,0,0,1,0,-1,-1," $ (1,000.00)",16,No,Yes,Disc,25,10,5935,Yes,58,36.3,680.75,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,No,Yes,Yes,No,21,Yes,No,No,No,Yes,680.75,11.737068965517242,36.3,4,2,Low,High,Long,4,High,0.5503833495816896,High,3
2,1,Female,72,20,Agriculture,Yes,27,Yes,17000,9.8,1.276156,0.389844,NA,No,Married,2,0,0,0,0,1,1,Own,Foreign," $ 9,300.00 ",32,Yes,Yes,Mast,33,12,2331.7,Yes,67,41.7,954.05,Yes,38.55,2580.75,Yes,No,0,0,Yes,No,No,No,No,No,Yes,No,Yes,24,Yes,No,Yes,Yes,Yes,3534.8,52.758208955223886,80.25,3,4,High,Low,Long,6,High,0.26015147134696454,Low,2
3,1,Female,66,13,Labor,Yes,31,Yes,23000,9.3,0.934743,1.204257,NA,No,Married,2,9,3,0,0,0,3,Own,Domestic," $ 11,600.00 ",14,Yes,Yes,Mast,40,9,2974.7,No,72,116.1,2854.9,No,0,0,Yes,Yes,43.25,3159.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,22,Yes,No,No,Yes,Yes,6014.15,83.5298611111111,159.35,9,4,High,Low,Long,6,High,0.0013705305022967773,Low,2
1,1,Female,57,17,Agriculture,No,24,No,171000,9.5,1.803195,14.441805,NA,No,Married,3,1,0,1,0,1,2,Own,Foreign," $ 75,800.00 ",19,Yes,No,Disc,19,14,3059.4,Yes,48,12.450000000000001,214.85000000000002,Yes,43.15,1990.25,Yes,Yes,40.2,1840.45,No,Yes,Yes,3,Yes,Yes,No,Yes,Yes,17,Yes,Yes,Yes,Yes,No,4045.55,84.28229166666667,95.80000000000001,7,6,High,Low,Long,6,High,0.4217314803092727,Low,2
5,2,Male,63,14,Labor,Yes,29,No,424000,10.7,13.111352,32.256648,NA,No,Married,2,0,0,0,0,1,3,Own,Domestic," $ 88,600.00 ",29,No,Yes,Mast,36,10,4957.5,No,70,104.4,2540.15,No,0,0,Yes,No,0,0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,24,No,No,No,No,Yes,2540.15,36.28785714285714,104.4,5,1,High,Low,Long,6,High,0.011583449180184332,Low,2
5,5,Female,28,11,Professional,No,4,No,23000,4.8,0.190992,0.913008,NA,No,Married,3,10,1,0,0,1,0,-1,-1," $ (1,000.00)",30,Yes,No,Visa,10,17,4420.9,Yes,34,10.350000000000001,110.45,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,16,No,No,No,No,No,110.45,3.248529411764706,10.350000000000001,4,1,Low,Low,Short,1,Low,0.9951070813395513,High,1
1,1,Female,78,16,Professional,No,10,Yes,22000,15.2,0.692208,2.651792,NA,No,Unmarried,1,0,0,0,0,0,2,Own,Foreign," $ 10,800.00 ",23,No,No,Visa,10,1,81.1,Yes,14,21.9,85.6,Yes,24.85,341.75,Yes,No,0,0,Yes,No,No,Yes,No,No,No,No,Yes,22,Yes,Yes,No,No,No,427.35,30.525000000000002,46.75,3,3,Low,Low,Short,1,Low,0.9997170846408517,High,1
3,3,Male,61,16,Professional,No,4,No,35000,10.1,1.233715,2.301285,NA,No,Married,2,0,0,0,0,0,4,Lease,Domestic," $ 9,400.00 ",34,No,No,AMEX,27,8,2719.8,No,53,33.6,567.05,No,0,0,Yes,No,0,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,25,Yes,Yes,Yes,No,No,567.05,10.699056603773585,33.6,6,4,Low,Low,Long,2,Low,0.9505184447111283,High,2
