type,year,standalone_prior,hybrid_prior,standalone_new,hybrid_new,total_gw
Solar,2014,25.05242,0,19.5117,0,44.56412
Solar,2015,33.05512,0,23.763492,0,56.818612
Solar,2016,36.977478,0,83.3325392,0,120.3100172
Solar,2017,83.578314,0,104.9310342,0,188.5093483
Solar,2018,138.1984375,11.55625,115.544645,17.66671,282.9660425
Solar,2019,155.783796,43.000118,109.784725,58.5830964,367.1517354
Solar,2020,195.5608,95.9643,107.6153274,63.3043,462.4447274
Wind,2014,66.67345,0,29.20245,0,95.8759
Wind,2015,65.027285,0,44.56256,0,109.589845
Wind,2016,74.75129,0,66.92416,0,141.67545
Wind,2017,98.72616997,0,81.448315,0,180.174485
Wind,2018,138.143055,2.189989995,91.00174495,0.828400012,232.16319
Wind,2019,158.948814,2.3705,55.64001,8.5429,225.502224
Wind,2020,151.4145,2.952,44.4953,10.277,209.1388
Storage,2014,0,NA,0,NA,0
Storage,2015,1.76074,NA,5.5424,NA,7.30314
Storage,2016,5.10035,NA,6.637815,NA,11.738165
Storage,2017,10.05593,NA,8.826424999,NA,18.882355
Storage,2018,9.41003,NA,19.6233943,NA,29.0334243
Storage,2019,18.066953,NA,37.336366,NA,55.403319
Storage,2020,41.73935,67.13188,50.997,44.59851,204.46674
Gas,2014,79.96638,0,65.1747,0,145.14108
Gas,2015,105.119612,0,58.229666,0,163.349278
Gas,2016,93.619382,0,39.756319,0,133.375701
Gas,2017,74.77010798,0,36.10036,0,110.870468
Gas,2018,58.247327,0.1058,27.42094,0.23845,86.01251701
Gas,2019,48.279304,0.3488,28.44703,0.1315,77.206634
Gas,2020,48.0379,1.221,21.7908,2.972,74.0217
Nuclear,2014,5.758,NA,4.205,NA,9.963
Nuclear,2015,9.554,NA,0,NA,9.554
Nuclear,2016,1.408,NA,0.9522,NA,2.3602
Nuclear,2017,0.7442,NA,0.0806,NA,0.8248
Nuclear,2018,0.5848,NA,0.6451,NA,1.2299
Nuclear,2019,3.2835,NA,0.05,NA,3.3335
Nuclear,2020,3.2823,0,0.1,0,3.3823
Coal,2014,1.783,NA,1.8368,NA,3.6198
Coal,2015,3.169,NA,0.492,NA,3.661
Coal,2016,0.845,NA,0.03,NA,0.875
Coal,2017,0.179,NA,0.014,NA,0.193
Coal,2018,0.083,NA,0.736,NA,0.819
Coal,2019,0.039,NA,0.011,NA,0.05
Coal,2020,0.1307,0,0,0,0.1307
Other,2014,18.34909,NA,7.0573,NA,25.40639
Other,2015,9.364886,NA,3.796967,NA,13.161853
Other,2016,6.03314,NA,4.43909,NA,10.47223
Other,2017,3.989000001,NA,2.24446,NA,6.233460001
Other,2018,3.621984001,NA,2.967451,NA,6.589435001
Other,2019,4.102279,NA,0.545401,NA,4.64768
Other,2020,5.41296,0.0672,0.8033,1.629229,7.912689
