yaxcatd (C:\Program Files\Tableau\Tableau 2024.1\bin\yaxcat\yaxcatd.exe) built at 26ca6db listening on 127.0.0.1:13046 with 8 worker threads.
0.008ms; [no ensemble]::AggModelServiceImpl::ping: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.223ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.070ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.045ms; [no ensemble]::AggModelServiceImpl::ping: 
0.133ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.108ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.015ms; [no ensemble]::AggModelServiceImpl::ping: 
0.168ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.098ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.009ms; [no ensemble]::AggModelServiceImpl::ping: 
3.821ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.054ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.094ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.132ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.083ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.063ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.065ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.060ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.010ms; [no ensemble]::AggModelServiceImpl::ping: 
0.075ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.055ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.079ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.163ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
stdin closed, exiting.
